| Name               | Version      | License                                            |
|--------------------|--------------|----------------------------------------------------|
| protobuf           | 4.24.3       | 3-Clause BSD License                               |
| asttokens          | 2.4.0        | Apache 2.0                                         |
| aif360             | 0.4.0        | Apache License 2.0                                 |
| aiohttp            | 3.8.5        | Apache Software License                            |
| aiosignal          | 1.3.1        | Apache Software License                            |
| async-timeout      | 4.0.3        | Apache Software License                            |
| frozenlist         | 1.4.0        | Apache Software License                            |
| importlib-metadata | 6.8.0        | Apache Software License                            |
| multidict          | 6.0.4        | Apache Software License                            |
| requests           | 2.31.0       | Apache Software License                            |
| types-certifi      | 2021.10.8.3  | Apache Software License                            |
| types-toml         | 0.10.8.7     | Apache Software License                            |
| yarl               | 1.9.2        | Apache Software License                            |
| packaging          | 23.1         | Apache Software License; BSD License               |
| python-dateutil    | 2.8.2        | Apache Software License; BSD License               |
| sniffio            | 1.3.0        | Apache Software License; MIT License               |
| lime               | 0.2.0.1      | BSD                                                |
| llvmlite           | 0.39.1       | BSD                                                |
| matplotlib-inline  | 0.1.6        | BSD 3-Clause                                       |
| Pygments           | 2.16.1       | BSD License                                        |
| appnope            | 0.1.3        | BSD License                                        |
| asgiref            | 3.7.2        | BSD License                                        |
| backcall           | 0.2.0        | BSD License                                        |
| click              | 8.1.7        | BSD License                                        |
| cloudpickle        | 2.0.0        | BSD License                                        |
| cycler             | 0.11.0       | BSD License                                        |
| decorator          | 5.1.1        | BSD License                                        |
| grpclib            | 0.4.3        | BSD License                                        |
| idna               | 3.4          | BSD License                                        |
| imageio            | 2.31.3       | BSD License                                        |
| ipython            | 8.0.1        | BSD License                                        |
| joblib             | 1.3.2        | BSD License                                        |
| kiwisolver         | 1.4.5        | BSD License                                        |
| memory-profiler    | 0.61.0       | BSD License                                        |
| networkx           | 3.1          | BSD License                                        |
| numba              | 0.56.4       | BSD License                                        |
| numpy              | 1.20.3       | BSD License                                        |
| pandas             | 1.4.4        | BSD License                                        |
| prettytable        | 3.9.0        | BSD License                                        |
| prompt-toolkit     | 3.0.39       | BSD License                                        |
| psutil             | 5.9.5        | BSD License                                        |
| scikit-image       | 0.19.3       | BSD License                                        |
| scikit-learn       | 1.1.3        | BSD License                                        |
| scipy              | 1.5.4        | BSD License                                        |
| starlette          | 0.27.0       | BSD License                                        |
| tblib              | 2.0.0        | BSD License                                        |
| threadpoolctl      | 3.2.0        | BSD License                                        |
| tifffile           | 2023.9.18    | BSD License                                        |
| traitlets          | 5.10.0       | BSD License                                        |
| aiostream          | 0.4.5        | GPLv3                                              |
| Pillow             | 10.0.1       | Historical Permission Notice and Disclaimer (HPND) |
| pexpect            | 4.8.0        | ISC License (ISCL)                                 |
| ptyprocess         | 0.7.0        | ISC License (ISCL)                                 |
